menu_id,name,cat,scope,age,layer,purpose,channels,coaching,vfe_target,time,desc,fep,steps,coaching_points
team_warm_001,ランニング,warm,team,all,L1,安定化,"視覚,体性感覚",safe,low,10,グラウンドを一定ペースでジョギングし身体を温める。呼吸リズムを意識しながら全身を起動させる。,単調リズム運動によりセロトニン系を活性化しσを安定させる。VFEのベースラインを低下させる準備。,全体でグラウンド外周をジョグ;徐々にペースを上げる;腕振りと呼吸を意識;最後に軽いダッシュを入れる,呼吸リズムを一定に保つ;周囲の選手との間隔を意識する;リラックスした姿勢を維持する
team_warm_002,ダイナミックストレッチ,warm,team,all,L1,安定化,"体性感覚,前庭覚",safe,low,10,動的ストレッチで関節可動域を広げ筋肉を活性化させる。サッカーの動作に近い動きを取り入れる。,関節・筋肉の体性感覚フィードバックを高め身体マップの予測精度を向上させる。,ブラジル体操形式で列を作る;股関節回し・もも上げ・キャリオカを実施;動きの大きさを徐々に増やす;左右均等に行う,動きの可動域を最大限に使う;反動をつけすぎない;痛みがある場合は無理しない
team_warm_003,ミラーリング遊び,warm,team,all,L1,探索,"視覚,体性感覚",safe,low,10,2人1組で向かい合い前の子の動きを真似する。リーダーを交代しながら行う。,他者の動作を視覚的に予測し身体で再現することでミラーニューロン系の内部モデルを活性化する。,2人1組でペアを作る;リーダーが自由に動きフォロワーが即座に真似;30秒で交代;徐々に動きのスピードを上げる,相手の動きをよく観察する;動き出しの瞬間を捉える;楽しみながら集中力を高める
team_warm_004,鬼ごっこ変形版,warm,team,all,L2,探索,"視覚,体性感覚",explore,low,10,タグ鬼形式の鬼ごっこ。腰につけたタグを取り合い空間認知と敏捷性を養う。,不規則な環境刺激に対する予測と反応を繰り返し探索的行動の幅を広げる。,腰にタグをつける;エリアを限定して鬼ごっこ開始;タグを取られたら外で待機;最後まで残った選手が勝ち,周囲の状況を常に把握する;急な方向転換を意識する;楽しみながら全力で動く
team_warm_005,ボールタッチ（足裏・インサイド）,warm,team,all,L1,安定化,"体性感覚,呼吸・心拍",safe,low,8,止まった状態でリズミカルにボールタッチ。足裏とインサイドの感覚を研ぎ澄ます。,一定リズムの反復的ボールタッチで体性感覚の予測精度を高めVFEを低下させる。,足裏でボールを転がす;インサイドで左右に動かす;リズムを徐々に速くする;目を閉じて行うバリエーションも,リズムを意識する;ボールの感触に集中する;力を入れすぎない
team_warm_006,パス＆ムーブ（2人組）,warm,team,all,L2,安定化,"視覚,体性感覚",explore,low,10,パスを出したら動く。動き続けることを習慣化する基本ドリル。,パスと移動の連続により予測-行動ループを反復的に回し基本的な内部モデルを強化する。,2人1組で向かい合う;パスを出したら別の場所へ移動;受け手はファーストタッチで返す;距離を徐々に変える,パスの質にこだわる;動き出しを素早く;コミュニケーションを取る
team_tech_001,ドリブルコース,tech,team,all,L2,修正,"視覚,体性感覚",explore,mid,15,コーンを使ったジグザグドリブル。スピードと正確さのバランスを学ぶ。,身体運動の予測モデルを修正し複雑な動作パターンでのVFEを適正帯域に維持する訓練。,コーンを等間隔で配置;右足のみ→左足のみ→両足で通過;タイム計測を入れる;最後はフリードリブル,ボールを見すぎない;身体の重心を低く;ターンの切り返しを素早く
team_tech_002,的当てパス,tech,team,all,L2,修正,"視覚,体性感覚",positive,mid,15,近・中・遠の距離にマーカーを配置。予測してから蹴り誤差を確認する。,パスの精度を予測し実行結果との誤差を確認することでVFEの修正ループを回す。,3つの距離にマーカー設置;蹴る前にどこに行くか宣言;キック後に誤差を確認;距離を徐々に伸ばす,予測を言語化する;蹴った後の振り返りを丁寧に;インサイドとインステップを使い分ける
team_tech_003,ファーストタッチ練習,tech,team,all,L2,修正,"体性感覚,前庭覚",explore,mid,15,投げてもらったボールを次のプレーにつながるトラップ。方向とスピードを制御する。,ボールの軌道予測と身体制御を統合し体性感覚の精度を高める。,パートナーが手で投げる;胸・もも・足でトラップ;トラップ後にすぐドリブル;速度と角度を変える,ボールの下に入る;次のプレーを意識したタッチ;身体を柔らかく使う
team_tech_004,シュート精度トレーニング,tech,team,all,L3,強化,"視覚,体性感覚",positive,mid,20,枠内シュートの精度向上。コース・高さを意識して蹴る。,ゴールの特定エリアを狙うことで予測精度と実行精度の両方を高負荷で鍛える。,ゴールを4分割するターゲット設置;各コースへ5本ずつシュート;成功率を記録;プレッシャー下でも実施,助走の角度を一定に;軸足の位置を確認;フォロースルーを意識する
